file,frame,point_index,x,y,z,doppler,snr,noise,track_id
replay_9.json,0,0,-0.98275579,5.601093561,-2.220140873,0.069720002,10.11999977,0,255
replay_9.json,0,1,-0.860102401,5.668808933,-2.262477476,-0.069720002,14.23999968,0,255
replay_9.json,0,2,-0.880882165,5.886095949,-2.065659367,-0.069720002,7.359999835,0,255
replay_9.json,0,3,0.609881443,3.183647816,0.154140419,0.069720002,8.359999813,0,255
replay_9.json,0,4,0.696029624,3.036129942,0.064494491,-0.069720002,6.119999863,0,255
replay_9.json,0,5,4.039281297,5.519181518,0.73711775,-0.069720002,6.119999863,0,255
replay_9.json,0,6,4.06003549,5.360868425,0.492212176,-0.069720002,5.35999988,0,255
replay_9.json,1,0,-0.987489117,5.608159164,-2.314777066,-0.069720002,5.239999883,0,255
replay_9.json,1,1,0.036143256,3.330474005,0.465281653,0.069720002,21.23999953,0,255
replay_9.json,1,2,0.036699219,3.371908375,0.405116473,-0.069720002,19.75999956,0,255
replay_9.json,1,3,0.072155207,3.31443765,0.432192446,0.069720002,24.87999944,0,255
replay_9.json,1,4,0.073394767,3.371376657,0.405258946,-0.069720002,23.11999948,0,255
replay_9.json,1,5,0.108223791,3.313566479,0.432425875,0.069720002,28.35999937,0,255
replay_9.json,1,6,0.110082977,3.37049052,0.405496386,-0.069720002,26.7599994,0,255
replay_9.json,1,7,0.144281553,3.312346962,0.432752644,0.069720002,31.1199993,0,255
replay_9.json,1,8,0.146760178,3.369250053,0.405828768,-0.069720002,29.99999933,0,255
replay_9.json,1,9,0.177528388,3.268916142,0.4928543,0.069720002,19.51999956,0,255
replay_9.json,1,10,0.180324887,3.31077922,0.433172719,0.069720002,32.35999928,0,255
replay_9.json,1,11,0.182338999,3.318323476,0.305819319,0.069720002,32.11999928,0,255
replay_9.json,1,12,0.014801659,0.239798779,2.079287215,-2.296280061,5.119999886,0,255
replay_9.json,1,13,0.216350188,3.308863411,0.433686058,0.069720002,31.75999929,0,255
replay_9.json,1,14,0.21876668,3.316386268,0.306338392,0.069720002,32.51999927,0,255
replay_9.json,1,15,0.244080209,3.207504379,0.520387799,0.069720002,6.359999858,0,255
replay_9.json,1,16,0.252353854,3.306599726,0.434292611,0.069720002,29.35999934,0,255
replay_9.json,1,17,0.255172484,3.314097299,0.306951719,0.069720002,31.1199993,0,255
replay_9.json,1,18,0.258933112,3.352900436,0.244535409,0.069720002,18.35999959,0,255
replay_9.json,1,19,0.286628752,3.255529774,0.336241096,0.069720002,26.11999942,0,255
replay_9.json,1,20,0.290916781,3.294361923,0.274510698,0.069720002,28.23999937,0,255
replay_9.json,1,21,0.322365951,3.252588531,0.337029199,0.069720002,22.5199995,0,255
replay_9.json,1,22,0.327188618,3.291376678,0.275310592,0.069720002,24.75999945,0,255
replay_9.json,1,23,0.363427735,3.28804123,0.276204323,0.069720002,21.23999953,0,255
