file,frame,point_index,x,y,z,doppler,snr,noise,track_id
replay_93.json,0,0,-0.79089853,6.972916538,0.35543943,0.069720002,5.119999886,0,255
replay_93.json,0,1,-0.570693637,6.931356136,0.364611364,-0.069720002,5.759999871,0,255
replay_93.json,0,2,0.034126569,3.322769852,1.21569135,0.487200013,28.51999936,0,255
replay_93.json,0,3,0.034758774,3.384325155,1.201161798,0.487200013,20.75999954,0,255
replay_93.json,0,4,0.068249726,3.322275408,1.215823836,0.487200013,32.11999928,0,255
replay_93.json,0,5,0.069514072,3.383821551,1.201296738,0.487200013,22.75999949,0,255
replay_93.json,0,6,0.102366057,3.32145139,1.21604463,0.487200013,35.11999922,0,255
replay_93.json,0,7,0.104262419,3.382982268,1.201521623,0.487200013,23.87999947,0,255
replay_93.json,0,8,0.136472152,3.320297881,1.216353712,0.487200013,36.87999918,0,255
replay_93.json,0,9,0.13900034,3.38180739,1.201836431,0.487200013,23.99999946,0,255
replay_93.json,0,10,0.1705646,3.318814995,1.216751051,0.487200013,36.87999918,0,255
replay_93.json,0,11,0.204639992,3.317002881,1.217236605,0.487200013,35.11999922,0,255
replay_93.json,0,12,0.238372657,3.336904465,1.317833425,0.556640015,31.99999928,0,255
replay_93.json,0,13,0.267138318,3.279225309,1.363980692,0.556640015,26.9999994,0,255
replay_93.json,0,14,0.320304637,3.166902558,1.484699733,0.417480011,9.879999779,0,255
replay_93.json,0,15,0.326587554,3.229022759,1.47459189,0.417480011,22.11999951,0,255
replay_93.json,0,16,0.359120503,3.225711016,1.475479269,0.417480011,21.63999952,0,255
replay_93.json,0,17,0.39161754,3.222085199,1.476450803,0.417480011,20.23999955,0,255
replay_93.json,0,18,0.424075415,3.218145672,1.477506396,0.417480011,18.23999959,0,255
replay_93.json,0,19,0.080882913,0.04247644,1.764070535,-0.76552002,5.759999871,0,255
replay_93.json,0,20,3.487054762,5.864582655,0.355932752,0.069720002,5.239999883,0,255
replay_93.json,0,21,3.748450554,5.558867721,0.150638571,0.069720002,5.639999874,0,255
replay_93.json,1,0,0,3.384493028,1.201116816,0.626360017,38.51999914,0,255
replay_93.json,1,1,0.034126569,3.322769852,1.21569135,0.626360017,39.11999913,0,255
replay_93.json,1,2,0.034758774,3.384325155,1.201161798,0.626360017,47.75999893,0,255
replay_93.json,1,3,0.035390979,3.445880458,1.186632246,0.626360017,21.23999953,0,255
replay_93.json,1,4,0.068249726,3.322275408,1.215823836,0.626360017,48.11999892,0,255
replay_93.json,1,5,0.069514072,3.383821551,1.201296738,0.626360017,58.99999868,0,255
replay_93.json,1,6,0.070778419,3.445367695,1.186769641,0.626360017,24.75999945,0,255
replay_93.json,1,7,0.100268763,3.288099357,1.361602898,0.626360017,24.75999945,0,255
replay_93.json,1,8,0.102366057,3.32145139,1.21604463,0.626360017,59.11999868,0,255
replay_93.json,1,9,0.104262419,3.382982268,1.201521623,0.626360017,71.6399984,0,255
replay_93.json,1,10,0.106015456,3.467363362,1.290730101,0.626360017,28.23999937,0,255
replay_93.json,1,11,0.133676086,3.286969481,1.361905647,0.626360017,30.11999933,0,255
replay_93.json,1,12,0.136472152,3.320297881,1.216353712,0.626360017,71.5199984,0,255
replay_93.json,1,13,0.13900034,3.38180739,1.201836431,0.626360017,83.75999813,0,255
replay_93.json,1,14,0.141337449,3.46616873,1.291050202,0.626360017,30.87999931,0,255
replay_93.json,1,15,0.167070041,3.285516976,1.362294845,0.626360017,36.35999919,0,255
replay_93.json,1,16,0.170334321,3.340852403,1.316775578,0.626360017,83.35999814,0,255
replay_93.json,1,17,0.173489815,3.402742691,1.304118642,0.626360017,91.51999795,0,255
replay_93.json,1,18,0.176645309,3.464632978,1.291461705,0.626360017,32.11999928,0,255
replay_93.json,1,19,0.20044729,3.283741989,1.362770451,0.626360017,43.11999904,0,255
replay_93.json,1,20,0.204363707,3.339042735,1.317260477,0.626360017,91.51999795,0,255
replay_93.json,1,21,0.208149606,3.400899498,1.304612523,0.626360017,91.63999795,0,255
replay_93.json,1,22,0.211797596,3.469683512,1.326687399,0.626360017,31.3599993,0,255
replay_93.json,1,23,0.233804494,3.281644697,1.363332419,0.626360017,49.1199989,0,255
replay_93.json,1,24,0.238372657,3.336904465,1.317833425,0.626360017,92.35999794,0,255
replay_93.json,1,25,0.242630597,3.405526539,1.339298265,0.626360017,83.99999812,0,255
replay_93.json,1,26,0.247043648,3.467467461,1.327281188,0.626360017,28.99999935,0,255
replay_93.json,1,27,0.267138318,3.279225309,1.363980692,0.626360017,52.63999882,0,255
replay_93.json,1,28,0.272180544,3.341120564,1.351975851,0.626360017,85.87999808,0,255
replay_93.json,1,29,0.27722277,3.403015819,1.33997101,0.626360017,72.11999839,0,255
replay_93.json,1,30,0.282264996,3.464911075,1.32796617,0.626360017,25.63999943,0,255
replay_93.json,1,31,0.293712245,3.237167621,1.506259175,0.556640015,20.63999954,0,255
replay_93.json,1,32,0.300445429,3.276484067,1.364715205,0.626360017,52.11999884,0,255
replay_93.json,1,33,0.306116325,3.338327581,1.352724229,0.626360017,74.51999833,0,255
replay_93.json,1,34,0.311787221,3.400171096,1.340733252,0.626360017,59.35999867,0,255
replay_93.json,1,35,0.317458118,3.462014611,1.328742275,0.626360017,21.99999951,0,255
replay_93.json,1,36,0.333722495,3.273421246,1.365535886,0.626360017,48.11999892,0,255
replay_93.json,1,37,0.340021495,3.335206949,1.353560399,0.626360017,61.99999861,0,255
replay_93.json,1,38,0.346320494,3.396992653,1.341584913,0.626360017,48.11999892,0,255
replay_93.json,1,39,0.352619494,3.458778357,1.329609426,0.626360017,18.63999958,0,255
replay_93.json,1,40,0.366966189,3.270037151,1.366442651,0.626360017,41.87999906,0,255
replay_93.json,1,41,0.373892662,3.33175898,1.35448428,0.626360017,50.51999887,0,255
replay_93.json,1,42,0.380819135,3.393480809,1.342525909,0.626360017,38.99999913,0,255
replay_93.json,1,43,0.39915151,3.284071934,1.466378721,0.556640015,35.23999921,0,255
replay_93.json,1,44,0.40668548,3.34605867,1.45630664,0.556640015,40.99999908,0,255
replay_93.json,1,45,0.414219449,3.408045405,1.446234558,0.556640015,31.75999929,0,255
replay_93.json,1,46,0.432233812,3.280056618,1.467454622,0.556640015,29.11999935,0,255
replay_93.json,1,47,0.439928331,3.347328321,1.491118538,0.556640015,33.35999925,0,255
replay_93.json,1,48,0.464782806,3.280987971,1.501705964,0.556640015,23.87999947,0,255
replay_93.json,1,49,0.473555564,3.342916496,1.492300683,0.556640015,27.51999938,0,255
replay_93.json,2,0,-0.352847961,3.602296772,0.337099417,0.417480011,8.359999813,0,255
replay_93.json,2,1,-0.320210917,3.711853418,0.420831555,0.417480011,5.239999883,0,255
replay_93.json,2,2,-0.231261228,3.536913101,0.325734365,0.417480011,6.639999852,0,255
replay_93.json,2,3,-0.034758774,3.384325155,1.201161798,0.556640015,26.6399994,0,255
replay_93.json,2,4,-0.035390979,3.445880458,1.186632246,0.556640015,21.99999951,0,255
replay_93.json,2,5,0,3.384493028,1.201116816,0.556640015,32.51999927,0,255
replay_93.json,2,6,0,3.446051384,1.186586447,0.556640015,26.35999941,0,255
replay_93.json,2,7,0.034758774,3.384325155,1.201161798,0.556640015,39.35999912,0,255
replay_93.json,2,8,0.035390979,3.445880458,1.186632246,0.556640015,31.63999929,0,255
replay_93.json,2,9,0.068113231,3.35098448,1.349332823,0.556640015,26.6399994,0,255
replay_93.json,2,10,0.069514072,3.383821551,1.201296738,0.556640015,47.51999894,0,255
replay_93.json,2,11,0.070778419,3.445367695,1.186769641,0.556640015,36.99999917,0,255
replay_93.json,2,12,0.100268763,3.288099357,1.361602898,0.487200013,18.51999959,0,255
replay_93.json,2,13,0.102161332,3.35016211,1.349553176,0.556640015,31.99999928,0,255
replay_93.json,2,14,0.104262419,3.382982268,1.201521623,0.556640015,55.87999875,0,255
replay_93.json,2,15,0.106158781,3.444513147,1.186998616,0.556640015,41.75999907,0,255
replay_93.json,2,16,0.133676086,3.286969481,1.361905647,0.487200013,22.5199995,0,255
replay_93.json,2,17,0.136199217,3.349010907,1.34986164,0.556640015,37.99999915,0,255
replay_93.json,2,18,0.13900034,3.38180739,1.201836431,0.556640015,62.99999859,0,255
replay_93.json,2,19,0.141528527,3.443316899,1.18731915,0.556640015,44.519999,0,255
replay_93.json,2,20,0.144056714,3.504826408,1.172801869,0.556640015,6.759999849,0,255
replay_93.json,2,21,0.167070041,3.285516976,1.362294845,0.487200013,27.11999939,0,255
replay_93.json,2,22,0.170223482,3.347530987,1.350258184,0.556640015,44.23999901,0,255
replay_93.json,2,23,0.17372436,3.380297033,1.20224113,0.556640015,66.87999851,0,255
replay_93.json,2,24,0.17688412,3.441779071,1.18773121,0.556640015,44.23999901,0,255
replay_93.json,2,25,0.20044729,3.283741989,1.362770451,0.487200013,31.99999928,0,255
replay_93.json,2,26,0.204230725,3.345722497,1.350742767,0.556640015,49.3599989,0,255
replay_93.json,2,27,0.208149606,3.400899498,1.304612523,0.556640015,66.23999852,0,255
replay_93.json,2,28,0.212222026,3.439899817,1.188234754,0.556640015,40.99999908,0,255
replay_93.json,2,29,0.233804494,3.281644697,1.363332419,0.487200013,36.51999918,0,255
replay_93.json,2,30,0.238217546,3.343585618,1.351315342,0.556640015,52.35999883,0,255
replay_93.json,2,31,0.242788582,3.398721616,1.305196085,0.556640015,61.23999863,0,255
replay_93.json,2,32,0.247538709,3.437679325,1.188829733,0.556640015,35.8799992,0,255
replay_93.json,2,33,0.267138318,3.279225309,1.363980692,0.487200013,39.35999912,0,255
replay_93.json,2,34,0.272180544,3.341120564,1.351975851,0.556640015,51.99999884,0,255
replay_93.json,2,35,0.27722277,3.403015819,1.33997101,0.556640015,53.8799988,0,255
replay_93.json,2,36,0.282830638,3.435117816,1.189516087,0.556640015,30.35999932,0,255
replay_93.json,2,37,0.294774533,3.214640552,1.376706182,0.417480011,17.11999962,0,255
replay_93.json,2,38,0.300445429,3.276484067,1.364715205,0.487200013,39.63999911,0,255
replay_93.json,2,39,0.306116325,3.338327581,1.352724229,0.556640015,48.63999891,0,255
replay_93.json,2,40,0.311787221,3.400171096,1.340733252,0.556640015,45.87999897,0,255
replay_93.json,2,41,0.318094285,3.432215548,1.190293748,0.556640015,25.23999944,0,255
replay_93.json,2,42,0.333722495,3.273421246,1.365535886,0.487200013,37.11999917,0,255
replay_93.json,2,43,0.340021495,3.335206949,1.353560399,0.556640015,43.35999903,0,255
replay_93.json,2,44,0.346320494,3.396992653,1.341584913,0.556640015,38.51999914,0,255
replay_93.json,2,45,0.352849096,3.451844006,1.2948885,0.556640015,20.99999953,0,255
replay_93.json,2,46,0.366966189,3.270037151,1.366442651,0.487200013,32.87999927,0,255
replay_93.json,2,47,0.372938082,3.349823994,1.455297724,0.348040009,37.51999916,0,255
replay_93.json,2,48,0.400173187,3.266332122,1.367435411,0.348040009,27.99999937,0,255
replay_93.json,2,49,0.433340168,3.262306528,1.368514066,0.348040009,23.35999948,0,255
replay_93.json,3,0,0.10809838,3.470128759,1.032871069,0.348040009,20.75999954,0,255
replay_93.json,3,1,0.1769549,3.406493022,1.050577014,0.348040009,54.87999877,0,255
replay_93.json,3,2,0.277778308,3.373754771,1.203994124,0.348040009,46.51999896,0,255
replay_93.json,3,3,0.294021947,3.232020097,1.473788755,0.139160004,6.119999863,0,255
replay_93.json,3,4,0.333722495,3.273421246,1.365535886,0.139160004,15.11999966,0,255
replay_93.json,3,5,0.340702878,3.306466261,1.220059884,0.348040009,24.23999946,0,255
replay_93.json,3,6,-0.129314692,0.009932732,1.782771877,-1.530760041,5.35999988,0,255
replay_93.json,4,0,0.287998164,3.460561769,1.035434536,-0.139160004,14.23999968,0,255
replay_93.json,4,1,0.388522628,3.425389925,1.192122668,0.139160004,27.75999938,0,255
replay_93.json,4,2,0.505627139,3.634434312,0.62100403,-0.76552002,5.35999988,0,255
replay_93.json,4,3,0.4740549,3.337551087,1.458586239,-0.208880006,11.23999975,0,255
replay_93.json,4,4,0.484072789,3.380948548,1.345883918,-0.208880006,24.63999945,0,255
replay_93.json,4,5,0.083353129,0.095617294,1.781096836,2.365720063,5.35999988,0,255
replay_93.json,4,6,3.962009615,5.55759467,0.365540139,-0.069720002,7.359999835,0,255
replay_93.json,4,7,3.979313968,5.40955887,0.190645757,-0.069720002,7.119999841,0,255
replay_93.json,5,0,-0.078408857,3.52724319,0.018442194,-0.417480011,7.119999841,0,255
replay_93.json,5,1,0,3.529807224,0.154263552,-0.487200013,10.11999977,0,255
replay_93.json,5,2,0.14394145,3.427445385,0.895139727,-0.278320007,7.239999838,0,255
replay_93.json,5,3,0.21205222,3.363879561,0.915444835,-0.278320007,15.63999965,0,255
replay_93.json,5,4,0.233804494,3.281644697,1.363332419,-0.139160004,24.99999944,0,255
replay_93.json,5,5,0.267138318,3.279225309,1.363980692,-0.139160004,29.11999935,0,255
replay_93.json,5,6,0.272180544,3.341120564,1.351975851,-0.139160004,28.23999937,0,255
replay_93.json,5,7,0.308749812,3.548264165,0.362655677,-0.487200013,8.51999981,0,255
replay_93.json,5,8,0.300445429,3.276484067,1.364715205,-0.139160004,33.11999926,0,255
replay_93.json,5,9,0.306116325,3.338327581,1.352724229,-0.139160004,32.99999926,0,255
replay_93.json,5,10,0.327423495,3.211635542,1.377511372,-0.139160004,12.23999973,0,255
replay_93.json,5,11,0.333722495,3.273421246,1.365535886,-0.139160004,36.35999919,0,255
replay_93.json,5,12,0.340021495,3.335206949,1.353560399,-0.139160004,38.11999915,0,255
replay_93.json,5,13,0.366966189,3.270037151,1.366442651,-0.139160004,37.99999915,0,255
replay_93.json,5,14,0.373892662,3.33175898,1.35448428,-0.139160004,42.87999904,0,255
replay_93.json,5,15,0.400173187,3.266332122,1.367435411,-0.139160004,37.51999916,0,255
replay_93.json,5,16,0.407726441,3.327984018,1.355495778,-0.139160004,46.35999896,0,255
replay_93.json,5,17,0.433340168,3.262306528,1.368514066,-0.139160004,34.87999922,0,255
replay_93.json,5,18,0.441519447,3.323882442,1.356594792,-0.139160004,47.87999893,0,255
replay_93.json,5,19,0.466463815,3.257960772,1.369678507,-0.139160004,30.99999931,0,255
replay_93.json,5,20,0.475268302,3.31945466,1.357781213,-0.139160004,46.51999896,0,255
