file,frame,point_index,x,y,z,doppler,snr,noise,track_id
replay_25.json,0,0,-0.127843837,0.758165261,1.561241493,0.069720002,7.519999832,0,255
replay_25.json,0,1,-0.119378681,0.759359264,1.560921561,0.069720002,9.359999791,0,255
replay_25.json,0,2,-0.109633105,0.742292237,1.530265549,0.069720002,11.99999973,0,255
replay_25.json,0,3,-0.101242008,0.743310694,1.529992654,0.069720002,15.11999966,0,255
replay_25.json,0,4,-0.107046994,0.775654496,1.464693192,-0.069720002,17.23999961,0,255
replay_25.json,0,5,-0.092840788,0.74424805,1.529741491,0.069720002,18.75999958,0,255
replay_25.json,0,6,-0.084430284,0.74510421,1.529512083,0.069720002,21.87999951,0,255
replay_25.json,0,7,-0.076011336,0.74587909,1.529304455,0.069720002,22.75999949,0,255
replay_25.json,0,8,-0.063482042,0.710157247,1.59093915,0.069720002,5.639999874,0,255
replay_25.json,0,9,-0.067584788,0.746572612,1.529118626,0.069720002,20.75999954,0,255
replay_25.json,0,10,-0.054925182,0.693799298,1.562610217,0.069720002,5.999999866,0,255
replay_25.json,0,11,-0.059151481,0.747184706,1.528954616,0.069720002,16.99999962,0,255
replay_25.json,0,12,-0.047088932,0.694291992,1.5624782,0.069720002,5.999999866,0,255
replay_25.json,0,13,-0.050712259,0.747715312,1.528812441,0.069720002,13.11999971,0,255
replay_25.json,0,14,-0.039247973,0.694708971,1.56236647,0.069720002,5.639999874,0,255
replay_25.json,0,15,-0.042267966,0.748164376,1.528692114,0.069720002,9.759999782,0,255
replay_25.json,0,16,-0.031403089,0.695050192,1.56227504,0.069720002,5.119999886,0,255
replay_25.json,0,17,-0.033819446,0.748531853,1.528593649,-0.069720002,7.359999835,0,255
replay_25.json,0,18,-0.016690359,0.729566564,1.498879558,0.069720002,5.639999874,0,255
replay_25.json,0,19,0.119217537,0.771652447,1.356588903,0.139160004,11.35999975,0,255
replay_25.json,0,20,0.155639704,0.815611729,1.317620735,0.069720002,32.87999927,0,255
replay_25.json,0,21,0.170772706,0.824940231,1.234915416,0.069720002,24.23999946,0,255
replay_25.json,0,22,0.196879321,0.834342634,1.158505733,0.069720002,9.239999793,0,255
replay_25.json,1,0,-0.055145666,0.777549623,1.35500876,0.139160004,18.11999959,0,255
replay_25.json,1,1,-0.029622904,0.807149002,1.198328562,0.278320007,37.23999917,0,255
replay_25.json,1,2,-0.019750248,0.807387458,1.198264668,0.278320007,44.23999901,0,255
